Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Price,Flight_Status,Meal Cost,Status_Reason,Total_Seats_Present,Total_seats_Filled,Total_Seats_Vacant,Ratings
JetAirways,21/01/2024,Delhi,Cochin,DEL → BOM → COK,08:00,18:50,10.5,1.0,6540,Completed,1154,Successful Flight,430.0,427.0,3.0,1.61
JetAirways,21/01/2024,Banglore,Delhi,BLR → BOM → DEL,18:40,11:25,16.45,1.0,7832,Completed,1305,Successful Flight,430.0,423.0,7.0,4.15
PremiumEconomy,21/01/2024,Delhi,Cochin,DEL → BOM → COK,06:00,13:20,7.2,1.0,11269,Completed,1098,Successful Flight,200.0,199.0,1.0,4.22
SpiceJet,21/01/2024,Kolkata,Banglore,CCU → BLR,22:20,00:40,2.2,0.0,3847,Completed,1283,Successful Flight,390.0,381.0,9.0,4.99
IndiGo,21/01/2024,Delhi,Cochin,DEL → HYD → MAA → COK,06:40,21:20,14.4,2.0,6494,Completed,1154,Successful Flight,250.0,244.0,6.0,1.59
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → BOM → COK,13:00,01:35,12.35,1.0,8098,Completed,1552,Successful Flight,500.0,482.0,18.0,4.91
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → BOM → COK,10:45,18:50,8.5,1.0,11622,Completed,946,Successful Flight,500.0,485.0,15.0,4.82
JetAirways,21/01/2024,Banglore,Delhi,BLR → BOM → DEL,14:05,11:25,21.2,1.0,7832,Completed,1959,Successful Flight,430.0,425.0,5.0,4.75
JetAirways,21/01/2024,Banglore,Delhi,BLR → BOM → DEL,07:00,21:20,14.2,1.0,7832,Completed,1368,Successful Flight,430.0,419.0,11.0,2.6
AirIndia,21/01/2024,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15,26.35,2.0,8236,Completed,1148,Successful Flight,450.0,431.0,19.0,2.99
AirIndia,21/01/2024,Delhi,Cochin,DEL → JAI → BOM → COK,12:00,07:40,19.4,2.0,9706,Completed,1338,Successful Flight,450.0,432.0,18.0,1.61
SpiceJet,21/01/2024,Mumbai,Hyderabad,BOM → HYD,05:45,07:05,1.2,0.0,3173,Completed,844,Successful Flight,390.0,385.0,5.0,1.01
AirIndia,21/01/2024,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,19:15,23.3,2.0,8236,Completed,1082,Successful Flight,450.0,441.0,9.0,3.99
IndiGo,21/01/2024,Chennai,Kolkata,MAA → CCU,11:35,14:00,2.25,0.0,3858,Completed,1606,Successful Flight,250.0,247.0,3.0,1.9
IndiGo,21/01/2024,Chennai,Kolkata,MAA → CCU,05:15,07:35,2.2,0.0,4326,Completed,1691,Successful Flight,250.0,249.0,1.0,3.71
AirIndia,21/01/2024,Banglore,Delhi,BLR → COK → DEL,22:00,23:20,25.2,1.0,6010,Completed,1282,Successful Flight,450.0,437.0,13.0,1.46
JetAirways,21/01/2024,Delhi,Cochin,DEL → BHO → BOM → COK,05:40,04:25,22.45,2.0,11543,Completed,1660,Successful Flight,430.0,419.0,11.0,4.36
JetAirways,21/01/2024,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5.3,1.0,14053,Completed,1749,Successful Flight,430.0,420.0,10.0,2.29
PremiumEconomy,21/01/2024,Delhi,Cochin,DEL → BOM → COK,06:00,15:30,9.3,1.0,11269,Completed,807,Successful Flight,200.0,184.0,16.0,3.86
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → HYD → COK,14:35,22:20,7.45,1.0,5999,Completed,1159,Successful Flight,500.0,496.0,4.0,2.32
JetAirways,21/01/2024,Delhi,Cochin,DEL → BOM → COK,13:00,18:50,5.5,1.0,12347,Completed,1829,Successful Flight,430.0,420.0,10.0,2.39
JetAirways,21/01/2024,Delhi,Cochin,DEL → BOM → COK,19:45,18:50,23.5,1.0,12347,Completed,1588,Successful Flight,430.0,415.0,15.0,3.98
JetAirways,21/01/2024,Banglore,Delhi,BLR → BOM → DEL,11:40,20:20,8.4,1.0,7832,Completed,1760,Successful Flight,430.0,412.0,18.0,4.46
AirIndia,21/01/2024,Delhi,Cochin,DEL → MAA → COK,12:30,09:25,20.55,1.0,6482,Completed,1933,Successful Flight,450.0,441.0,9.0,4.94
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → HYD → MAA → COK,07:05,21:20,14.15,2.0,6653,Completed,962,Successful Flight,500.0,486.0,14.0,1.9
IndiGo,21/01/2024,Delhi,Cochin,DEL → BOM → COK,16:00,01:35,9.35,1.0,9264,Completed,1914,Successful Flight,250.0,249.0,1.0,1.57
JetAirways,21/01/2024,Banglore,Delhi,BLR → BOM → DEL,11:40,11:25,23.45,1.0,7832,Completed,1975,Successful Flight,430.0,415.0,15.0,2.64
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → BOM → COK,09:00,18:50,9.5,1.0,11667,Completed,911,Successful Flight,500.0,497.0,3.0,1.44
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → HYD → COK,07:10,16:10,9.0,1.0,5999,Completed,1632,Successful Flight,500.0,490.0,10.0,4.48
JetAirways,21/01/2024,Delhi,Cochin,DEL → BOM → COK,17:30,18:50,25.2,1.0,12557,Completed,1571,Successful Flight,430.0,416.0,14.0,2.47
JetAirways,21/01/2024,Delhi,Cochin,DEL → IXC → BOM → COK,06:20,04:25,22.5,2.0,8273,Cancelled,1480,Aircraft Maintenance,430.0,0.0,430.0,0.0
Vistara,21/01/2024,Banglore,Delhi,BLR → DEL,16:00,18:35,2.35,0.0,5613,Completed,814,Successful Flight,300.0,291.0,9.0,2.63
PremiumEconomy,21/01/2024,Delhi,Cochin,DEL → BOM → COK,06:00,18:50,12.5,1.0,14629,Completed,1073,Successful Flight,200.0,181.0,19.0,2.82
AirIndia,21/01/2024,Delhi,Cochin,DEL → CCU → BOM → COK,06:50,07:40,24.5,2.0,11071,Completed,1964,Successful Flight,450.0,450.0,0.0,1.95
PremiumEconomy,21/01/2024,Delhi,Cochin,DEL → BOM → COK,07:30,18:50,11.2,1.0,14629,Completed,1164,Successful Flight,200.0,190.0,10.0,3.82
IndiGo,21/01/2024,Delhi,Cochin,DEL → AMD → COK,07:45,13:40,5.55,1.0,6101,Completed,1393,Successful Flight,250.0,242.0,8.0,3.77
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → BOM → COK,15:15,01:35,10.2,1.0,7695,Completed,1653,Successful Flight,500.0,496.0,4.0,1.81
JetAirways,21/01/2024,Delhi,Cochin,DEL → BOM → COK,08:00,04:25,20.25,1.0,6540,Completed,1493,Successful Flight,430.0,419.0,11.0,4.86
JetAirways,21/01/2024,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,18:50,23.4,2.0,9483,Completed,1977,Successful Flight,430.0,426.0,4.0,3.83
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → BOM → COK,14:00,01:35,11.35,1.0,13542,Completed,1678,Successful Flight,500.0,498.0,2.0,3.65
IndiGo,21/01/2024,Delhi,Cochin,DEL → HYD → COK,07:35,12:00,4.25,1.0,5073,Cancelled,1709,Weather Conditions,250.0,0.0,250.0,0.0
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → BOM → COK,10:20,01:35,15.15,1.0,7695,Completed,863,Successful Flight,500.0,485.0,15.0,2.51
AirIndia,21/01/2024,Delhi,Cochin,DEL → HYD → MAA → COK,07:05,09:25,26.2,2.0,7615,Completed,1776,Successful Flight,450.0,442.0,8.0,4.59
JetAirways,21/01/2024,Delhi,Cochin,DEL → IDR → BOM → COK,10:20,04:25,42.5,2.0,11664,Completed,1696,Successful Flight,430.0,421.0,9.0,4.01
SpiceJet,21/01/2024,Kolkata,Banglore,CCU → BLR,22:20,00:40,2.2,0.0,3815,Completed,1020,Successful Flight,390.0,385.0,5.0,1.41
JetAirways,21/01/2024,Delhi,Cochin,DEL → BOM → COK,02:15,18:50,16.35,1.0,7438,Completed,839,Successful Flight,430.0,420.0,10.0,1.58
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → BOM → COK,07:00,13:20,6.2,1.0,9042,Completed,1681,Successful Flight,500.0,493.0,7.0,3.55
JetAirways,21/01/2024,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,18:50,37.2,2.0,9328,Completed,1728,Successful Flight,430.0,412.0,18.0,1.87
JetAirways,21/01/2024,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,04:25,33.15,2.0,8834,Completed,943,Successful Flight,430.0,430.0,0.0,4.5
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → HYD → MAA → COK,07:10,21:20,14.1,2.0,5935,Completed,961,Successful Flight,500.0,500.0,0.0,2.2
IndiGo,21/01/2024,Delhi,Cochin,DEL → BOM → COK,04:45,13:20,8.35,1.0,7738,Completed,1612,Successful Flight,250.0,245.0,5.0,3.95
JetAirways,21/01/2024,Banglore,Delhi,BLR → BOM → DEL,20:35,07:40,11.5,1.0,7832,Completed,1337,Successful Flight,430.0,424.0,6.0,3.8
JetAirways,21/01/2024,Delhi,Cochin,DEL → BDQ → BOM → COK,10:45,04:25,17.4,2.0,11093,Completed,1805,Successful Flight,430.0,421.0,9.0,2.82
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → HYD → COK,07:10,22:20,15.1,1.0,5999,Completed,1399,Successful Flight,500.0,500.0,0.0,3.51
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → HYD → COK,07:05,16:10,9.5,1.0,6717,Completed,1551,Successful Flight,500.0,494.0,6.0,3.73
SpiceJet,21/01/2024,Kolkata,Banglore,CCU → BLR,09:00,11:30,2.3,0.0,3815,Completed,1905,Successful Flight,390.0,385.0,5.0,1.95
IndiGo,21/01/2024,Delhi,Cochin,DEL → BOM → COK,10:45,21:00,10.15,1.0,6838,Completed,1193,Successful Flight,250.0,245.0,5.0,2.08
JetAirways,21/01/2024,Delhi,Cochin,DEL → BOM → COK,02:15,04:25,26.1,1.0,12719,Cancelled,1772,Security Concerns,430.0,0.0,430.0,0.0
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → BOM → COK,08:00,18:50,10.5,1.0,11667,Completed,1370,Successful Flight,500.0,491.0,9.0,4.28
IndiGo,21/01/2024,Chennai,Kolkata,MAA → CCU,19:35,21:55,2.2,0.0,3384,Completed,847,Successful Flight,250.0,249.0,1.0,1.57
IndiGo,21/01/2024,Chennai,Kolkata,MAA → CCU,13:20,15:35,2.15,0.0,3384,Completed,1425,Successful Flight,250.0,248.0,2.0,1.39
IndiGo,21/01/2024,Kolkata,Banglore,CCU → BLR,15:10,17:45,2.35,0.0,4148,Completed,1901,Successful Flight,250.0,249.0,1.0,2.38
IndiGo,21/01/2024,Delhi,Cochin,DEL → BOM → COK,07:30,13:20,5.5,1.0,9861,Completed,1360,Successful Flight,250.0,249.0,1.0,2.37
IndiGo,21/01/2024,Delhi,Cochin,DEL → BOM → COK,20:30,01:35,5.5,1.0,6232,Completed,1473,Successful Flight,250.0,245.0,5.0,1.77
JetAirways,21/01/2024,Delhi,Cochin,DEL → BOM → COK,09:00,18:50,9.5,1.0,7438,Completed,1994,Successful Flight,430.0,417.0,13.0,1.77
IndiGo,21/01/2024,Delhi,Cochin,DEL → HYD → MAA → COK,07:35,21:20,13.45,2.0,6494,Completed,1744,Successful Flight,250.0,248.0,2.0,2.93
AirIndia,21/01/2024,Mumbai,Hyderabad,BOM → HYD,21:05,22:25,1.2,0.0,2050,Completed,1209,Successful Flight,450.0,445.0,5.0,2.78
AirIndia,21/01/2024,Kolkata,Banglore,CCU → BLR,14:15,16:45,2.3,0.0,5170,Completed,1919,Successful Flight,450.0,435.0,15.0,2.18
JetAirways,21/01/2024,Banglore,Delhi,BLR → BOM → DEL,11:40,12:15,24.35,1.0,7832,Completed,1891,Successful Flight,430.0,421.0,9.0,3.87
AirIndia,21/01/2024,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1.3,0.0,3100,Completed,1231,Successful Flight,450.0,440.0,10.0,3.01
PremiumEconomy,21/01/2024,Delhi,Cochin,DEL → BOM → COK,08:55,21:00,12.5,1.0,9845,Completed,948,Successful Flight,200.0,196.0,4.0,1.18
AirIndia,21/01/2024,Delhi,Cochin,DEL → BLR → COK,20:30,23:00,26.3,1.0,5704,Completed,1513,Successful Flight,450.0,430.0,20.0,1.67
IndiGo,21/01/2024,Mumbai,Hyderabad,BOM → HYD,19:05,20:30,1.25,0.0,2754,Completed,1935,Successful Flight,250.0,249.0,1.0,4.02
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → BOM → COK,07:05,15:30,8.25,1.0,14486,Completed,857,Successful Flight,500.0,490.0,10.0,3.91
JetAirways,21/01/2024,Banglore,Delhi,BLR → BOM → DEL,08:00,21:20,13.2,1.0,7832,Cancelled,1834,Aircraft Maintenance,430.0,0.0,430.0,0.0
SpiceJet,21/01/2024,Kolkata,Banglore,CCU → BLR,06:55,09:35,2.4,0.0,4148,Completed,1844,Successful Flight,390.0,389.0,1.0,3.45
JetAirways,21/01/2024,Banglore,Delhi,BLR → BOM → DEL,14:05,19:10,5.5,1.0,7832,Completed,1983,Successful Flight,430.0,422.0,8.0,3.14
PremiumEconomy,21/01/2024,Delhi,Cochin,DEL → BOM → COK,08:55,15:30,6.35,1.0,11269,Completed,801,Successful Flight,200.0,179.0,21.0,1.63
PremiumEconomy,21/01/2024,Delhi,Cochin,DEL → BOM → COK,06:00,12:35,6.35,1.0,13369,Completed,1424,Successful Flight,200.0,188.0,12.0,1.73
AirIndia,21/01/2024,Delhi,Cochin,DEL → HYD → BOM → COK,17:15,07:40,14.25,2.0,8052,Completed,1367,Successful Flight,450.0,441.0,9.0,3.58
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → BOM → COK,09:00,15:30,6.3,1.0,8307,Completed,1196,Successful Flight,500.0,482.0,18.0,4.84
JetAirways,21/01/2024,Delhi,Cochin,DEL → BOM → COK,17:30,04:25,10.55,1.0,5963,Completed,801,Successful Flight,430.0,428.0,2.0,2.22
AirAsia,21/01/2024,Kolkata,Banglore,CCU → BLR,10:20,12:55,2.35,0.0,4082,Completed,1618,Successful Flight,340.0,337.0,3.0,4.49
JetAirways,21/01/2024,Banglore,Delhi,BLR → BDQ → DEL,05:50,12:20,6.3,1.0,6163,Completed,1262,Successful Flight,430.0,419.0,11.0,1.14
JetAirways,21/01/2024,Delhi,Cochin,DEL → BDQ → BOM → COK,10:45,18:50,32.5,2.0,11869,Completed,1192,Successful Flight,430.0,415.0,15.0,4.2
JetAirways,21/01/2024,Delhi,Cochin,DEL → IDR → BOM → COK,10:20,18:50,32.3,2.0,11664,Completed,1783,Successful Flight,430.0,425.0,5.0,1.17
IndiGo,21/01/2024,Banglore,Delhi,BLR → STV → DEL,11:20,15:25,4.5,1.0,5746,Completed,1568,Successful Flight,250.0,242.0,8.0,3.95
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → BOM → COK,08:00,19:15,11.15,1.0,13378,Completed,1206,Successful Flight,500.0,484.0,16.0,4.65
AirIndia,21/01/2024,Delhi,Cochin,DEL → BOM → COK,21:00,07:40,10.4,1.0,6902,Completed,1250,Successful Flight,450.0,443.0,7.0,1.3
JetAirways,21/01/2024,Delhi,Cochin,DEL → BDQ → BOM → COK,10:45,18:50,32.5,2.0,7791,Completed,955,Successful Flight,430.0,430.0,0.0,3.89
IndiGo,21/01/2024,Kolkata,Banglore,CCU → BLR,09:35,12:20,2.45,0.0,4148,Completed,1999,Successful Flight,250.0,247.0,3.0,4.77
JetAirways,21/01/2024,Delhi,Cochin,DEL → BOM → COK,16:00,18:50,26.5,1.0,5963,Completed,1323,Successful Flight,430.0,418.0,12.0,3.44
AirIndia,21/01/2024,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6.15,1.0,7934,Completed,1294,Successful Flight,450.0,434.0,16.0,2.17
JetAirways,21/01/2024,Delhi,Cochin,DEL → BDQ → BOM → COK,10:45,18:50,8.5,2.0,11360,Completed,1577,Successful Flight,430.0,422.0,8.0,3.78
JetAirways,21/01/2024,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25,18:50,24.25,2.0,12347,Completed,1849,Successful Flight,430.0,423.0,7.0,3.28
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → BOM → COK,11:40,19:15,7.35,1.0,7531,Completed,1398,Successful Flight,500.0,494.0,6.0,2.51
IndiGo,21/01/2024,Delhi,Cochin,DEL → BOM → COK,06:40,21:00,14.2,1.0,8784,Completed,972,Successful Flight,250.0,240.0,10.0,1.64
AirIndia,21/01/2024,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,19:15,30.2,2.0,11228,Completed,1930,Successful Flight,450.0,440.0,10.0,2.47
AirIndia,21/01/2024,Mumbai,Hyderabad,BOM → HYD,06:20,07:40,1.2,0.0,3100,Completed,1277,Successful Flight,450.0,440.0,10.0,1.95
JetAirways,21/01/2024,Delhi,Cochin,DEL → BOM → COK,18:15,18:50,24.35,1.0,12557,Completed,1492,Successful Flight,430.0,416.0,14.0,2.64
JetAirways,21/01/2024,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,18:50,37.2,2.0,12341,Completed,1390,Successful Flight,430.0,417.0,13.0,2.46
JetAirways,21/01/2024,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1.3,0.0,2228,Completed,1440,Successful Flight,430.0,413.0,17.0,1.55
IndiGo,21/01/2024,Kolkata,Banglore,CCU → BLR,22:10,00:55,2.45,0.0,4148,Completed,1114,Successful Flight,250.0,248.0,2.0,3.68
IndiGo,21/01/2024,Delhi,Cochin,DEL → BOM → COK,04:45,21:00,16.15,1.0,6314,Completed,1627,Successful Flight,250.0,242.0,8.0,2.59
IndiGo,21/01/2024,Delhi,Cochin,DEL → BOM → COK,09:10,15:30,6.2,1.0,9709,Completed,1933,Successful Flight,250.0,248.0,2.0,4.14
IndiGo,21/01/2024,Banglore,Delhi,BLR → DEL,13:00,15:50,2.5,0.0,5694,Completed,1108,Successful Flight,250.0,246.0,4.0,4.22
JetAirways,21/01/2024,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25,18:50,24.25,2.0,11869,Completed,1646,Successful Flight,430.0,420.0,10.0,4.16
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → BOM → COK,17:00,01:35,8.35,1.0,7363,Completed,1105,Successful Flight,500.0,500.0,0.0,4.9
AirAsia,21/01/2024,Kolkata,Banglore,CCU → BLR,22:50,01:20,2.3,0.0,3782,Completed,1706,Successful Flight,340.0,340.0,0.0,1.86
AirIndia,21/01/2024,Banglore,Delhi,BLR → MAA → DEL,11:50,13:00,25.1,1.0,5092,Completed,1428,Successful Flight,450.0,438.0,12.0,3.48
JetAirways,21/01/2024,Delhi,Cochin,DEL → BOM → COK,07:05,18:50,11.45,1.0,12767,Completed,1338,Successful Flight,430.0,430.0,0.0,4.67
JetAirways,21/01/2024,Banglore,Delhi,BLR → BOM → DEL,18:40,07:40,13.0,1.0,7832,Completed,1848,Successful Flight,430.0,424.0,6.0,2.78
JetAirways,21/01/2024,Banglore,Delhi,BLR → BOM → DEL,07:00,13:15,6.15,1.0,7832,Cancelled,1102,Weather Conditions,430.0,0.0,430.0,0.0
JetAirways,21/01/2024,Delhi,Cochin,DEL → BOM → COK,08:00,04:25,20.25,1.0,12767,Completed,931,Successful Flight,430.0,424.0,6.0,3.69
AirIndia,21/01/2024,Delhi,Cochin,DEL → COK,14:10,17:10,3.0,0.0,5674,Completed,1777,Successful Flight,450.0,437.0,13.0,1.79
JetAirways,21/01/2024,Delhi,Cochin,DEL → MAA → BOM → COK,16:10,18:50,26.4,2.0,8728,Completed,909,Successful Flight,430.0,424.0,6.0,3.89
JetAirways,21/01/2024,Banglore,Delhi,BLR → BOM → DEL,05:45,19:10,13.25,1.0,7832,Completed,1751,Successful Flight,430.0,412.0,18.0,2.68
SpiceJet,21/01/2024,Banglore,Delhi,BLR → DEL,09:35,12:30,2.55,0.0,4839,Completed,1170,Successful Flight,390.0,385.0,5.0,1.94
JetAirways,21/01/2024,Banglore,Delhi,BLR → BOM → DEL,14:05,20:20,6.15,1.0,7832,Completed,1310,Successful Flight,430.0,413.0,17.0,1.58
AirIndia,21/01/2024,Delhi,Cochin,DEL → HYD → BOM → COK,17:15,19:15,26.0,2.0,8245,Completed,1427,Successful Flight,450.0,444.0,6.0,3.75
JetAirways,21/01/2024,Banglore,Delhi,BLR → BOM → DEL,11:40,23:00,11.2,1.0,6992,Completed,1149,Successful Flight,430.0,418.0,12.0,3.92
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → BOM → COK,08:00,15:30,7.3,1.0,14486,Completed,1755,Successful Flight,500.0,493.0,7.0,3.01
JetAirways,21/01/2024,Delhi,Cochin,DEL → BOM → COK,16:00,18:50,26.5,1.0,12557,Completed,1604,Successful Flight,430.0,420.0,10.0,3.18
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → BOM → COK,08:25,19:15,10.5,1.0,8601,Completed,1080,Successful Flight,500.0,500.0,0.0,1.16
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → HYD → MAA → COK,13:15,21:20,8.5,2.0,6653,Completed,1555,Successful Flight,500.0,495.0,5.0,4.78
JetAirways,21/01/2024,Delhi,Cochin,DEL → IDR → BOM → COK,10:20,18:50,32.3,2.0,9254,Completed,1258,Successful Flight,430.0,428.0,2.0,2.5
IndiGo,21/01/2024,Banglore,Delhi,BLR → DEL,06:00,08:45,2.45,0.0,5734,Completed,1237,Successful Flight,250.0,240.0,10.0,3.31
JetAirways,21/01/2024,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,04:25,33.15,2.0,8834,Cancelled,1553,Security Concerns,430.0,0.0,430.0,0.0
IndiGo,21/01/2024,Mumbai,Hyderabad,BOM → HYD,06:20,07:45,1.25,0.0,4049,Completed,1560,Successful Flight,250.0,245.0,5.0,3.6
IndiGo,21/01/2024,Delhi,Cochin,DEL → BOM → COK,11:30,21:00,9.3,1.0,6838,Completed,1843,Successful Flight,250.0,248.0,2.0,1.56
JetAirways,21/01/2024,Mumbai,Hyderabad,BOM → HYD,07:10,08:35,1.25,0.0,4160,Completed,1821,Successful Flight,430.0,413.0,17.0,1.64
IndiGo,21/01/2024,Banglore,Delhi,BLR → IDR → DEL,13:40,18:35,4.55,1.0,7166,Cancelled,955,Aircraft Maintenance,250.0,0.0,250.0,0.0
JetAirways,21/01/2024,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,18:50,23.4,2.0,6643,Completed,1775,Successful Flight,430.0,426.0,4.0,1.5
AirIndia,21/01/2024,Delhi,Cochin,DEL → HYD → MAA → COK,09:45,09:25,23.4,2.0,8140,Completed,1550,Successful Flight,450.0,449.0,1.0,2.34
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → BOM → COK,04:45,18:50,14.5,1.0,11098,Completed,950,Successful Flight,500.0,497.0,3.0,4.68
JetAirways,21/01/2024,Delhi,Cochin,DEL → BOM → COK,07:05,04:25,21.2,1.0,12767,Completed,1867,Successful Flight,430.0,410.0,20.0,2.2
JetAirways,21/01/2024,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,04:25,33.15,2.0,10929,Completed,1357,Successful Flight,430.0,418.0,12.0,3.85
JetAirways,21/01/2024,Banglore,Delhi,BLR → BOM → DEL,08:55,15:15,6.2,1.0,7832,Completed,922,Successful Flight,430.0,415.0,15.0,3.64
AirIndia,21/01/2024,Delhi,Cochin,DEL → HYD → MAA → COK,13:15,09:25,20.1,2.0,7107,Completed,1330,Successful Flight,450.0,439.0,11.0,1.76
JetAirways,21/01/2024,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25,42.45,2.0,12819,Completed,1189,Successful Flight,430.0,420.0,10.0,1.07
JetAirways,21/01/2024,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1.3,0.0,8040,Completed,1181,Successful Flight,430.0,419.0,11.0,2.39
AirIndia,21/01/2024,Delhi,Cochin,DEL → BOM → COK,07:00,19:15,12.15,1.0,7934,Completed,1362,Successful Flight,450.0,434.0,16.0,3.23
AirIndia,21/01/2024,Banglore,Delhi,BLR → COK → DEL,06:55,23:20,16.25,1.0,6987,Completed,1081,Successful Flight,450.0,437.0,13.0,3.66
JetAirways,21/01/2024,Banglore,Delhi,BLR → BOM → DEL,07:00,16:10,9.1,1.0,7832,Completed,1796,Successful Flight,430.0,427.0,3.0,1.23
SpiceJet,21/01/2024,Delhi,Cochin,DEL → BLR → COK,16:35,22:50,6.15,1.0,4957,Completed,1257,Successful Flight,390.0,389.0,1.0,3.4
JetAirways,21/01/2024,Delhi,Cochin,DEL → BDQ → BOM → COK,10:45,04:25,17.4,2.0,7791,Completed,1651,Successful Flight,430.0,410.0,20.0,4.57
IndiGo,21/01/2024,Banglore,Delhi,BLR → DEL,10:10,13:00,2.5,0.0,4777,Completed,977,Successful Flight,250.0,240.0,10.0,1.35
JetAirways,21/01/2024,Banglore,Delhi,BLR → BOM → DEL,05:45,16:10,10.25,1.0,7832,Completed,950,Successful Flight,430.0,428.0,2.0,3.23
JetAirways,21/01/2024,Delhi,Cochin,DEL → BOM → COK,15:00,18:50,27.5,1.0,12767,Completed,1125,Successful Flight,430.0,422.0,8.0,2.79
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → BOM → COK,11:30,19:15,7.45,1.0,13378,Completed,866,Successful Flight,500.0,500.0,0.0,2.29
AirIndia,21/01/2024,Delhi,Cochin,DEL → COK,05:10,08:00,2.5,0.0,5674,Completed,1299,Successful Flight,450.0,434.0,16.0,2.68
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → BOM → COK,11:30,18:50,7.2,1.0,11622,Completed,1744,Successful Flight,500.0,495.0,5.0,3.89
IndiGo,21/01/2024,Delhi,Cochin,DEL → BOM → COK,04:45,15:30,10.45,1.0,7738,Completed,1831,Successful Flight,250.0,242.0,8.0,3.46
IndiGo,21/01/2024,Delhi,Cochin,DEL → BOM → COK,11:30,01:35,14.5,1.0,7318,Completed,1229,Successful Flight,250.0,245.0,5.0,1.05
JetAirways,21/01/2024,Banglore,Delhi,BLR → BOM → DEL,08:55,20:20,11.25,1.0,7832,Cancelled,1784,Weather Conditions,430.0,0.0,430.0,0.0
JetAirways,21/01/2024,Banglore,Delhi,BLR → BOM → DEL,07:00,15:15,8.15,1.0,7832,Completed,1076,Successful Flight,430.0,414.0,16.0,1.76
MultipleCarriers,21/01/2024,Delhi,Cochin,DEL → BOM → COK,10:45,19:15,8.3,1.0,7154,Completed,1705,Successful Flight,500.0,480.0,20.0,1.06
SpiceJet,21/01/2024,Kolkata,Banglore,CCU → BLR,09:00,11:30,2.3,0.0,4148,Completed,868,Successful Flight,390.0,388.0,2.0,4.45
SpiceJet,21/01/2024,Kolkata,Banglore,CCU → BLR,17:15,19:45,2.3,0.0,3847,Completed,1987,Successful Flight,390.0,389.0,1.0,2.12
AirIndia,21/01/2024,Delhi,Cochin,DEL → LKO → BOM → COK,12:20,19:15,30.55,2.0,10703,Completed,819,Successful Flight,450.0,444.0,6.0,3.85
IndiGo,21/01/2024,Mumbai,Hyderabad,BOM → HYD,09:10,10:35,1.25,0.0,4049,Cancelled,1711,Security Concerns,250.0,0.0,250.0,0.0
JetAirways,21/01/2024,Delhi,Cochin,DEL → BDQ → BOM → COK,10:45,18:50,32.5,2.0,9270,Completed,1720,Successful Flight,430.0,421.0,9.0,4.04
JetAirways,21/01/2024,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1.3,0.0,5678,Completed,1830,Successful Flight,430.0,410.0,20.0,2.35
IndiGo,21/01/2024,Kolkata,Banglore,CCU → BLR,17:15,19:55,2.4,0.0,4148,Completed,1610,Successful Flight,250.0,246.0,4.0,2.42
